image,caption,depression
https://instagram.fntr6-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/225993802_363984615138396_5778460137618844813_n.jpg?_nc_ht=instagram.fntr6-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=0-0NFwLFA2wAX9NFJ_6&edm=AP_V10EBAAAA&ccb=7-4&oh=c97b8d947856b826318435c7d4caded8&oe=610BD765&_nc_sid=4f375e,⇒ follow me @yeasad for more edits 💜,1
https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-15/e35/225142152_346265876963178_5527304271597052137_n.jpg?_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FKttZ4wJTvUAX9gt6Ta&edm=AP_V10EBAAAA&ccb=7-4&oh=25cd40c24a1de9a5a988ea7dd8921275&oe=610A451F&_nc_sid=4f375e,😢😢😢😞....#cry #crying #cryingquotes #cryingquote #crying😂 #sad #sadquote #sadshayari #sadness #sadquotespage,1
https://instagram.fntr6-1.fna.fbcdn.net/v/t51.2885-15/e35/224875677_350368866762532_2887013502838392994_n.jpg?_nc_ht=instagram.fntr6-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MQscP57rr4EAX9bpmgE&edm=AP_V10EBAAAA&ccb=7-4&oh=68d4a851b625df4c046b5f59a408369c&oe=610ACA20&_nc_sid=4f375e,NEVER! 🥀🥲Please like and save! 🥺Follow @deep_.quotes7 for more~~~~~~~~~~~~~~~~~~#sad #love #loveyourself #yourself #thoughts #writer #happy #quotes #life #music #viral #memes #followforfollowback #follow #nature #instagram #cute #instadaily #shayari #like #lifestyle #likes #likeforlikes #photo #lovequotes #sadedits #broken #sadness #me #alone,1
https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-15/e35/226736000_319331096552085_5338777607943476254_n.jpg?_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ho6gdpC-w4QAX_3PVQ-&edm=AP_V10EBAAAA&ccb=7-4&oh=135ba8fab8e58bf999533fda9cffa7a2&oe=610B4198&_nc_sid=4f375e,Ever 🥺❤️..If viewing follow @deepvibes_._ for more ❤️✨#sadthoughts #sadvideos #sadness #heartbroken #crying #deppressionedits #brokenheartclub #deppressing #sadquotestumblr #sadpost #sadquotesdepressed #heartbroken #brokenheart #sadquotespage #sadposts #feelingsquotes #sadfeelings #brokenquotes #hurtquotes #sadmoodedits #sadedits #sadedits #sadmood #hurtinginside #heartbrokenquotes,1
https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-15/e35/226819667_879695602935908_5075180948204669380_n.jpg?_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=1&_nc_ohc=GOw8kgsT4agAX-2SP73&edm=AP_V10EBAAAA&ccb=7-4&oh=b4c961b692ed550fa3e934d0bbfbc4dd&oe=610B27D2&_nc_sid=4f375e,💞💞💞Follow @heartinntears for more  quotes#brokenheart #heartinntears #broken💔,1
https://instagram.fntr6-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/225780041_283954890183243_1657878954481614378_n.jpg?_nc_ht=instagram.fntr6-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=WsAkjCn9yBYAX_sQiTZ&tn=IY7MY_5JEOQRQaY_&edm=AP_V10EBAAAA&ccb=7-4&oh=0f52ecb96bd4f53467b6be0805d128cb&oe=610AA1DD&_nc_sid=4f375e,"Sadness from today.#sadness, #bnwsouls, #blackandwhite, #bnwmood, #bnw_captures, #bnwphotography, #bnw, #blackandwhitephotography#bnwphoto, #bnw_user, #bnw_life, #landscape, #landscapephotography, #monochrome, #photography, #noiretblanc, #bnw_zone, #bnw_greatshots, #bnw_phototrip, #bnw_artstyle, #bnwmood, #streetphotography, #photoshoot, #nature, #naturephotography, #naturelovers, #bnwnature, #clouds",1
https://instagram.fntr6-1.fna.fbcdn.net/v/t51.2885-15/e35/228388218_541140017159570_357052501711664891_n.jpg?_nc_ht=instagram.fntr6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=5Z9TEjD1DkIAX_XClky&edm=AP_V10EBAAAA&ccb=7-4&oh=5b4af8d0976aadb1e9971761d03c1c3f&oe=610B0991&_nc_sid=4f375e,#alone #sad #love #depressed #mood #lonely #depression #sadness #follow #broken #like #quotes #life #cry #sadquotes #sadedits #happy #photography #black #emotional #lonelyboys #explore #fakelove #crying #feelings #heart #hate #sadnes #bhfyp,1
https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-15/e35/228694329_1301427970288389_8125381988487934709_n.jpg?_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=109&_nc_ohc=lExoj7D0gc0AX8axr6k&tn=IY7MY_5JEOQRQaY_&edm=AP_V10EBAAAA&ccb=7-4&oh=7a291c07a5b7030b8e4e3e6b9cf63de8&oe=610ADAE1&_nc_sid=4f375e,"Power was sucked out of my sisters and mother in one form another. #domesticviolence #sexualabuse #shame and #sadness ... these are the words that defined the ones nearest and dearest to me... including myself. There once was a fire in me, one that could light up a room and set it into flames from my passion alone. I keep trying to pinpoint a moment in time when that started to dim, and I realize it was gradual. It started with “you talk too much”, “nice girls...do X”, or that my looks were my greatest ASSet (implicitly on too many levels to count)... so, I shrank, I got smaller and things like normal, natural teenage acne crushed my self-perception. Was it vanity? No. A sick society, one that teaches women that building their ass is more important than building a strong mind. I was merely a product.Now, I attend therapy like it’s my fucking religion, while I lick my wounds from the pain of the time I lost being in my power. But I am waking up.We shrug and sigh when yet again another woman is raped, another girl is abused, another mother is beaten to a pulp, when in fact we should be fighting.Not fighting in the literal sense, but rather calling on the rage from the depths of our soul that was pushed down, “makeup upped”, swallowed, subdued, ignored, downplayed... that was asked to play nice and sit pretty like a good little girl.Fuck nice and fuck pretty.. it is boring, sad and leads to an unlived life.What is your greatest asset?#womenempowerment #femaleempowerment #revolution #feminism #anger #eatingdisorder #womenshealth",1
https://instagram.fntr6-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/229670869_313314153866894_1446930422605626236_n.jpg?_nc_ht=instagram.fntr6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=d_eJ-SMBtPQAX_38umr&edm=AP_V10EBAAAA&ccb=7-4&oh=a5459fe13476b04c7729651a6fc09ce8&oe=610B4DCE&_nc_sid=4f375e,No ------#no #draw #oilpastel #oilpastels #draw #drew #art #mydraw #myart #me #horror #sad #sadness #sketch #sketchbook #mywork #style #mystyle #dark #mouth #blu #blue #red #monster,1
https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-15/e35/226865701_897411207791393_1931338375922122452_n.jpg?_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=105&_nc_ohc=e80h8PGtSZcAX_evLcr&edm=AP_V10EBAAAA&ccb=7-4&oh=a622f663e5e464f91f9c4c80cf9ca2d7&oe=610B1995&_nc_sid=4f375e,"mom can i go back to being your little girl I'm tired of being an adult everything feels unfair to me I'm tired mom!!! I miss mom!!! I have to be as strong and tough as what else I am is it okay when I give up on the situation and succumb because my status is a woman mom why my life is not as lucky as others, they can be happy with their family why is it different from me mom can you help me to stay strong and strong to live my life#alfatihah#missyou #mom #momlove #loveyoumom #love #life #sad #sadgirl #broken #alone #cry #sadness #brokenheart",1
